Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;MARIA ABADIA DA SILVA SANTAREM AMORIM;"ABADIA SANTAREM ";Deputado Distrital;18999;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ABEL ENRIQUE DUARTE;ABEL DUARTE;Deputado Distrital;31331;PHS;Aguardando julgamento;PHS
Concorrendo;ADELMO JOSÉ LIMA;ADELMO PAPAI SMURF;Deputado Distrital;44200;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;ADHARA CAMPOS VIEIRA;ADHARA CAMPOS;Deputado Distrital;43003;PV;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;JOSE ADIBE DAMASCENO DA CRUZ;ADIBE MECANICO;Deputado Distrital;43700;PV;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ADILSON NUNES DE LIMA;ADILSON NUNES;Deputado Distrital;18200;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ADOLPHO LUIZ BEZERRA KESSELRING;ADOLPHO FUICA;Deputado Distrital;18420;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ADRIANA DOS ANJOS GLORIA;ADRIANA GLORIA;Deputado Distrital;70140;AVANTE;Deferido;AVANTE
Concorrendo;ADRIANA LOURENÇO DAS CANDEIAS;ADRIANA LOURENÇO;Deputado Distrital;90045;PROS;Aguardando julgamento;PROS
Concorrendo;ADRIANO ARAÚJO DA SILVA;ADRIANO ARAÚJO;Deputado Distrital;77192;SOLIDARIEDADE;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ADRIANO AZEVEDO;ADRIANO AZEVEDO;Deputado Distrital;36026;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ADRIANO DE ANDRADE MARROCOS;ADRIANO MARROCOS;Deputado Distrital;55222;PSD;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;AGACIEL DA SILVA MAIA;AGACIEL MAIA;Deputado Distrital;22123;PR;Aguardando julgamento;PR
Concorrendo;AGENILDO NERI DA SILVA;AGENILDO NERI;Deputado Distrital;10300;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;AGNALDO ROMEIRO DE MELO;AGNALDO ROMEIRO;Deputado Distrital;23456;PPS;Aguardando julgamento;PPS
Concorrendo;AILTON MIRANDA LUSTOSA;AILTON MIRANDA;Deputado Distrital;36111;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;AIRAM OLIVEIRA ALVES CORREIA;AIRAM;Deputado Distrital;14144;PTB;Aguardando julgamento;PTB
Concorrendo;AKILLA MARIA DE MELO MARINHO;AKILLA MARINHO;Deputado Distrital;70500;AVANTE;Deferido;AVANTE
Concorrendo;ALDEMIO OGLIARI;ALDEMIO OGLIARI;Deputado Distrital;13016;PT;Aguardando julgamento;PT
Concorrendo;ALDEMIR DOMÍCIO DA SILVA;ALDEMIR DOMICIO;Deputado Distrital;65888;PC do B;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ALDOVRANDO TELES TORRES;ALDOVRANDO TORRES;Deputado Distrital;23222;PPS;Aguardando julgamento;PPS
Concorrendo;EVA ALESSANDRA ROSA GOMES;ALESSANDRA GOMES;Deputado Distrital;33333;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ALESSANDRO FABRÍCIO CLEMENTE PAIVA;ALESSANDRO PAIVA;Deputado Distrital;40800;PSB;Aguardando julgamento;PSB
Concorrendo;ALEXANDRE DE OLIVEIRA MORAIS;ALEXANDRE MORAIS;Deputado Distrital;51111;PATRI;Aguardando julgamento;RENOVA DF
Concorrendo;ALEXANDRE FERREIRA DOS SANTOS;ALEXANDRE TOTA;Deputado Distrital;10122;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ALEXANDRE DE JESUS SILVA YANEZ;ALEXANDRE YANEZ;Deputado Distrital;11211;PP;Aguardando julgamento;PP
Concorrendo;ALEX ALVES NEVES;ALEX NEVES;Deputado Distrital;14400;PTB;Aguardando julgamento;PTB
Concorrendo;ALEX RIBEIRO LEITE;ALEX RIBEIRO;Deputado Distrital;17123;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ALFREDO CARNEIRO DOS SANTOS JUNIOR;ALFREDO JUNIOR;Deputado Distrital;70170;AVANTE;Deferido;AVANTE
Concorrendo;ALINE DE CARVALHO MARTINS REIS;ALINE;Deputado Distrital;25525;DEM;Aguardando julgamento;TODOS PELO DF
Concorrendo;ALINE CABRAL COSTA ANDRADE;ALINE CABRAL;Deputado Distrital;17197;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ALINNE DE SOUZA MARQUES;ALINNE MARQUES;Deputado Distrital;54001;PPL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ALLAN FREIRE BARBOSA DA SILVA;ALLAN FREIRE;Deputado Distrital;30777;NOVO;Aguardando julgamento;NOVO
Concorrendo;ALISSON LUIZ DE MACEDO VEIRA;ALLISSON RENOVAÇÃO;Deputado Distrital;13636;PT;Aguardando julgamento;PT
Concorrendo;ALMACHIO REZENDE BARRETO DA ROCHA;ALMACHIO ROCHA;Deputado Distrital;17333;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ALTINO ALMEIDA SILVA;ALTINO TORNEIRO;Deputado Distrital;55200;PSD;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;ALZIRA MARIA DOS PASSOS FOLHA;ALZIRA FOLHA;Deputado Distrital;40104;PSB;Aguardando julgamento;PSB
Concorrendo;AMAZONICA BRASIL MAGALLANS LUJAN;AMAZONICA BRASIL;Deputado Distrital;90009;PROS;Aguardando julgamento;PROS
Concorrendo;AMILTON SILVA;AMILTON SILVA;Deputado Distrital;17777;PSL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ANA CRISTINA SIQUEIRA CAMPOS DA SILVEIRA;ANA CRISTINA DO POR DO SOL;Deputado Distrital;14021;PTB;Aguardando julgamento;PTB
Concorrendo;ANA LUIZA DE OLIVEIRA DIAS;ANA LUIZA;Deputado Distrital;10111;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ANA MARIA DA SILVA;ANA MARIA;Deputado Distrital;11022;PP;Aguardando julgamento;PP
Concorrendo;ANA PAULA GUEDES FRANCO;ANA PAULA GUEDES;Deputado Distrital;10678;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ANA ROSA CARVALHO DE ABREU;ANA ROSA;Deputado Distrital;18182;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ANA ELIZABETH DE ANDRADE FARIAS SANTOS SALES;ANA SALES;Deputado Distrital;10007;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;ANTONIO LOPES ANCHIETA JUNIOR;ANCHIETA JR;Deputado Distrital;36012;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ANDERSON FABRICIO GOMES;ANDERSON FABRICIO;Deputado Distrital;22567;PR;Aguardando julgamento;PR
Concorrendo;ANDERSON DA SILVA FONSECA;ANDERSON FONSECA;Deputado Distrital;55007;PSD;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;ANDERSON DA SILVA LOPES;ANDERSON LOPES;Deputado Distrital;51140;PATRI;Aguardando julgamento;RENOVA DF
Concorrendo;ANDERSON SILVA DE OLIVEIRA;ANDERSON MANTEIGA;Deputado Distrital;22319;PR;Aguardando julgamento;PR
Concorrendo;ANDERSON MEDINA BORGES;ANDERSON MEDINA;Deputado Distrital;11123;PP;Aguardando julgamento;PP
Concorrendo;ANDERSON CAMPOS DOS SANTOS;ANDERSON SANTOS;Deputado Distrital;44144;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;ANDERSON SENTO SE SANTANA DA COSTA;ANDERSON SENTO;Deputado Distrital;22444;PR;Aguardando julgamento;PR
Concorrendo;ANDREA APARECIDA BORGES SILVA;ANDREA BORGES;Deputado Distrital;28009;PRTB;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;ANDREA MARIA MENDES;ANDREA MENDES;Deputado Distrital;43060;PV;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ANDREA PONTES QUADROS CÔRTES;ANDREA QUADROS;Deputado Distrital;30400;NOVO;Aguardando julgamento;NOVO
Concorrendo;ANDRÉ BRANDÃO PERES;ANDRÉ BRANDÃO;Deputado Distrital;19333;PODE;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;ANDRÉ RICARDO SANTOS BURMANN;ANDRÉ CORUJA;Deputado Distrital;12007;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ANDREIA CANDIDA DA SILVA BANDEIRA;ANDREIA BANDEIRA;Deputado Distrital;54180;PPL;Aguardando julgamento;UMA NOVA ESPERANÇA
Concorrendo;ANDRE LUIS RAIMUNDO DA SILVA;ANDRE KALLAGRI;Deputado Distrital;33033;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ANDRÉ RODOLFO DE LIMA;ANDRÉ LIMA;Deputado Distrital;18918;REDE;Aguardando julgamento;Brasília Justa e de mãos limpas
Concorrendo;ANDRE LUIS SILVA DE OLIVEIRA;ANDRÉ LUIZ;Deputado Distrital;15789;MDB;Aguardando julgamento;MDB
Concorrendo;ANDRÉ LUIZ DE CARVALHO MARTINS;"ANDRÉ MARTINS ";Deputado Distrital;23711;PPS;Aguardando julgamento;PPS
Concorrendo;ANDRE MATTAR;ANDRE MATTAR;Deputado Distrital;22111;PR;Aguardando julgamento;PR
Concorrendo;ANDRÉ LUIS QUEIROZ ROSA;ANDRÉ QUEIROZ;Deputado Distrital;33391;PMN;Aguardando julgamento;mobilizar pra mudar
Concorrendo;ANDRE LUIS SILVA;ANDRÉ SILVA;Deputado Distrital;20040;PSC;Aguardando julgamento;PSC
Concorrendo;ANDYARA BAGATINI DIEGUEZ BARREIRO;ANDYARA;Deputado Distrital;23321;PPS;Aguardando julgamento;PPS
Concorrendo;ANGELA CRISTINA DO NASCIMENTO AUGUSTO;ANGELA AUGUSTO;Deputado Distrital;20363;PSC;Aguardando julgamento;PSC
Concorrendo;ANGELA MARIA TEIXEIRA;ANGELA TEIXEIRA;Deputado Distrital;70101;AVANTE;Deferido;AVANTE
Concorrendo;ANA PAULA DAMASCENO DE SOUZA;ANINHA;Deputado Distrital;40190;PSB;Aguardando julgamento;PSB
Concorrendo;ANARCISE PEREIRA DA SILVEIRA;ANINHA DA AUTOESCOLA;Deputado Distrital;12512;PDT;Aguardando julgamento;SUSTENTABILIDADE E TRABALHO
Concorrendo;ANTÔNIO CARLOS DA SILVA;ANTÔNIO CARLOS;Deputado Distrital;19256;PODE;Aguardando julgamento;UNIDOS PELO DF 2
